Student Number	Course Number
10095	1051
10095	1201
10095	1231
10095	1513
10095	1605
10095	1765
10095	1805
10095	1906
10095	2804
10392	1125
10392	1225
10392	1358
10392	1650
10392	1869
10392	1920
10392	1784A
10412	1059
10412	1065
10412	1126
10412	1250
10412	1340
10412	1669
10412	1869
10412	1948
10412	2818
10419	1126
10419	1249
10419	1649
10419	1869
10419	1947
10419	2818
10430	1412
10430	1523
10430	1782
10430	1835
10430	2920
10430	2945
10430	2946
10430	2947
10430	2948
10430	2950
10431	1077
10431	1249
10431	1669
10431	1792
10431	1869
10431	1947
10431	2818
10431	5512
10433	1031
10433	1077
10433	1239
10433	1535
10433	1680
10433	1865
10433	1948
10433	2818
10453	1225
10453	1413
10453	1427
10453	1635
10453	1783
10453	1843
10453	1925
10471	1012
10471	1135
10471	1207
10471	1337
10471	1513
10471	1605
10471	1782
10471	1805
10471	2801
10589	1057
10589	1061
10589	1105
10589	1215
10589	1358
10589	1629
10589	1845
10589	1860
10589	1919
10597	1249
10597	1413
10597	1584
10597	1648
10597	1867
10597	1947
10597	2818
10597	2920
10599	1116
10599	1126
10599	1249
10599	1540
10599	1680
10599	1947
10599	2818
10607	1066
10607	1249
10607	1350
10607	1680
10607	1890
10607	1947
10607	2818
10651	1225
10651	1524
10651	1635
10651	1792
10651	1843
10651	1925
10839	1031
10839	1207
10839	1357
10839	1412
10839	1605
10839	1765
10839	1805
10839	1906
10839	2803
11254	1225
11254	1317
11254	1515
11254	1649
11254	1782
11254	1849
11254	1925
11255	1225
11255	1524
11255	1584
11255	1649
11255	1686
11255	1849
11255	1925
11273	1126
11273	1249
11273	1320
11273	1660
11273	1869
11273	1948
11273	2818
11274	1035
11274	1219
11274	1256
11274	1358
11274	1637
11274	1783
11274	1829
11274	1919
11279	1249
11279	1414
11279	1427
11279	1433
11279	1648
11279	1947
11279	2818
11280	1235
11280	1446
11280	1535
11280	1584
11280	1624
11280	1835
11280	1947
11280	2818
11281	1012
11281	1035
11281	1225
11281	1637
11281	1849
11281	1925
11281	1938
11374	1249
11374	1359
11374	1509
11374	1540
11374	1669
11374	1869
11374	1947
11374	2818
11386	1215
11386	1256
11386	1358
11386	1524
11386	1629
11386	1845
11386	1919
11386	1960
11392	1219
11392	1259
11392	1358
11392	1637
11392	1829
11392	1845
11392	1919
11392	1784A
11396	1250
11396	1320
11396	1524
11396	1649
11396	1867
11396	1940
11396	1948
11396	2818
11406	1250
11406	1319
11406	1509
11406	1669
11406	1787
11406	1947
11406	2818
11485	1025
11485	1105
11485	1219
11485	1358
11485	1637
11485	1782
11485	1834
11485	1919
11487	1017
11487	1261
11487	1359
11487	1669
11487	1755
11487	1785
11487	1869
11487	1920
11489	1125
11489	1261
11489	1359
11489	1649
11489	1766
11489	1849
11489	1925
11521	1059
11521	1061
11521	1105
11521	1219
11521	1357
11521	1609
11521	1783
11521	1845
11521	1919
11526	1225
11526	1422
11526	1446
11526	1459
11526	1637
11526	1849
11526	1925
11526	2002
11547	1125
11547	1225
11547	1359
11547	1649
11547	1849
11547	1920
11547	1784A
11565	1077
11565	1225
11565	1649
11565	1829
11565	1860
11565	1920
11567	1033
11567	1077
11567	1215
11567	1606
11567	1613
11567	1785
11567	1805
11567	1915
11568	1219
11568	1259
11568	1262
11568	1337
11568	1615
11568	1785
11568	1809
11568	1845
11568	1915
11575	1105
11575	1215
11575	1338
11575	1503
11575	1515
11575	1615
11575	1835
11575	1915
11583	1031
11583	1225
11583	1369
11583	1637
11583	1849
11583	1925
11583	1938
11589	1126
11589	1250
11589	1680
11589	1890
11589	1947
11589	2818
11589	1784A
11597	1012
11597	1061
11597	1215
11597	1442
11597	1605
11597	1834
11597	1915
11598	1035
11598	1125
11598	1225
11598	1637
11598	1849
11598	1925
11601	1059
11601	1066
11601	1105
11601	1225
11601	1358
11601	1446
11601	1637
11601	1849
11601	1925
11604	1125
11604	1261
11604	1359
11604	1629
11604	1715
11604	1766
11604	1860
11604	1920
11604	1940
11607	1105
11607	1219
11607	1262
11607	1357
11607	1609
11607	1785
11607	1845
11607	1919
11608	1017
11608	1125
11608	1250
11608	1359
11608	1650
11608	1860
11608	1925
11611	1055
11611	1059
11611	1126
11611	1250
11611	1359
11611	1669
11611	1869
11611	1907
11611	1948
11611	2818
11613	1055
11613	1059
11613	1126
11613	1250
11613	1359
11613	1680
11613	1948
11613	2818
11614	1061
11614	1215
11614	1357
11614	1524
11614	1613
11614	1784
11614	1834
11614	1919
11616	1077
11616	1078
11616	1105
11616	1215
11616	1368
11616	1613
11616	1834
11616	1915
11618	1077
11618	1225
11618	1339
11618	1508
11618	1670
11618	1869
11618	1920
11622	1105
11622	1159
11622	1225
11622	1649
11622	1865
11622	1925
11622	1960
11622	4137
11624	1219
11624	1259
11624	1358
11624	1629
11624	1783
11624	1845
11624	1919
11627	1059
11627	1061
11627	1219
11627	1318
11627	1368
11627	1629
11627	1845
11627	1860
11627	1959
11628	1159
11628	1239
11628	1637
11628	1867
11628	1925
11628	1937
11628	2818
11633	1125
11633	1261
11633	1359
11633	1508
11633	1670
11633	1869
11633	1920
11636	1012
11636	1125
11636	1225
11636	1367
11636	1445
11636	1635
11636	1834
11636	1925
11641	1077
11641	1105
11641	1219
11641	1358
11641	1629
11641	1784
11641	1860
11641	1919
11641	4845
11643	1215
11643	1295
11643	1338
11643	1629
11643	1784
11643	1845
11643	1915
11643	2920
11644	1219
11644	1318
11644	1629
11644	1766
11644	1785
11644	1845
11644	1860
11644	1919
11651	1077
11651	1250
11651	1262
11651	1340
11651	1680
11651	1820
11651	1948
11651	2818
11653	1261
11653	1509
11653	1535
11653	1670
11653	1890
11653	1948
11653	2818
11654	1225
11654	1357
11654	1433
11654	1535
11654	1637
11654	1834
11654	1925
11660	1058
11660	1077
11660	1079
11660	1358
11660	1445
11660	1669
11660	1860
11660	1920
11660	1940
11669	1055
11669	1059
11669	1249
11669	1370
11669	1549
11669	1670
11669	1870
11669	2818
11679	1215
11679	1358
11679	1524
11679	1615
11679	1784
11679	1835
11679	1915
11685	1032
11685	1225
11685	1337
11685	1443
11685	1637
11685	1849
11685	1925
11688	1125
11688	1261
11688	1319
11688	1445
11688	1649
11688	1766
11688	1869
11688	1925
11689	1219
11689	1358
