Student #	Course #
10095	1051
10095	1135
10095	1208
10095	1355
10095	1516
10095	1606
10095	1783
10095	1806
10095	2852
10392	1125
10392	1226
10392	1358
10392	1650
10392	1789
10392	1879
10392	1930
10392	2811
10412	1059
10412	1065
10412	1126
10412	1260
10412	1340
10412	1669
10412	1879
10412	1949
10419	1118
10419	1126
10419	1239
10419	1649
10419	1879
10430	1413
10430	1522
10430	1783
10430	1835
10430	2920
10430	2945
10430	2946
10430	2947
10430	2948
10430	2950
10431	1076
10431	1239
10431	1513
10431	1669
10431	1879
10431	5512
10433	1032
10433	1077
10433	1249
10433	1680
10433	1939
10433	1949
10453	1216
10453	1226
10453	1616
10453	1636
10453	1784
10453	1844
10453	1926
10453	2811
10453	2820
10471	1012
10471	1208
10471	1337
10471	1516
10471	1606
10471	1765
10471	1806
10471	1906
10589	1057
10589	1061
10589	1216
10589	1358
10589	1639
10589	1845
10589	1860
10589	1929
10589	2810
10597	1239
10597	1585
10597	1648
10597	1796
10597	1868
10597	1907
10597	2920
10599	1126
10599	1239
10599	1540
10599	1659
10599	1839
10607	1066
10607	1239
10607	1350
10607	1680
10607	1839
10607	1939
10651	1226
10651	1442
10651	1636
10651	1844
10651	1926
10651	1934
10651	2811
10839	1135
10839	1208
10839	1285
10839	1357
10839	1606
10839	1782
10839	1806
10839	1907
11254	1226
11254	1317
11254	1649
11254	1767
11254	1859
11254	1926
11254	2811
11255	1226
11255	1585
11255	1649
11255	1686
11255	1792
11255	1859
11255	1926
11255	2811
11273	1126
11273	1239
11273	1293
11273	1320
11273	1659
11273	1879
11273	1947
11274	1105
11274	1229
11274	1256
11274	1358
11274	1638
11274	1785
11274	1845
11274	1929
11274	2810
11279	1165
11279	1239
11279	1241
11279	1416
11279	1648
11279	1937
11280	1236
11280	1446
11280	1522
11280	1606
11280	1638
11280	1937
11281	1012
11281	1035
11281	1226
11281	1638
11281	1859
11281	1926
11281	1934
11281	2811
11374	1239
11374	1509
11374	1540
11374	1669
11374	1879
11386	1216
11386	1259
11386	1358
11386	1638
11386	1834
11386	1929
11386	1960
11386	2810
11392	1105
11392	1106
11392	1229
11392	1358
11392	1638
11392	1789
11392	1839
11392	1929
