SchoolId	Fall
10095	1282
10095	1357
10095	1649
10095	1745
10095	1867
10095	2818
10471	1282
10471	1509
10471	1523
10471	1635
10471	1849
10471	2818
10839	1032
10839	1235
10839	1637
10839	1867
10839	1947
10839	2818
11240	1013
11240	1215
11240	1247
11240	1412
11240	1443
11240	1615
11240	1772
11240	1835
11240	1915
11594	1125
11594	1225
11594	1339
11594	1637
11594	1743
11594	1849
11594	1926
11594	2811
11695	1088
11695	1090
11695	1250
11695	1259
11695	1270
11695	1380
11695	1787
11695	1948
11695	2818
11739	1125
11739	1261
11739	1359
11739	1669
11739	1869
11739	1920
11739	2811
11779	1017
11779	1282
11779	1413
11779	1635
11779	1849
11779	1937
11779	2818
11798	1126
11798	1281
11798	1649
11798	1867
11798	1947
11798	2818
11909	1059
11909	1061
11909	1219
11909	1293
11909	1358
11909	1629
11909	1784
11909	1860
11909	1919
12124	1235
12124	1535
12124	1745
12124	2818
12124	2855
12124	2920
12155	1077
12155	1105
12155	1215
12155	1338
12155	1582
12155	1615
12155	1829
12155	1915
12404	1035
12404	1239
12404	1649
12404	1867
12404	1947
12404	2818
12581	1017
12581	1239
12581	1641
12581	1787
12581	1867
12581	2818
12581	2920
12941	1126
12941	1250
12941	1680
12941	1820
12941	1947
12941	2818
12953	2818
12978	1126
12978	1239
12978	1649
12978	1867
12978	1948
12978	2818
13002	1126
13002	1282
13002	1359
13002	1649
13002	1867
13002	2818
13115	1126
13115	1282
13115	1350
13115	1649
13115	1869
13115	1947
13115	2818
13134	1281
13134	1660
13134	1745
13134	1860
13134	1970
13134	2818
13148	2818
13158	1126
13158	1282
13158	1641
13158	1867
13158	1947
13158	2818
13254	1126
13254	1282
13254	1680
13254	1784
13254	1820
13254	1948
13254	2818
13268	1051
13268	1057
13268	1135
13268	1207
13268	1357
13268	1605
13268	1783
13268	1809
13268	2803
13277	1126
13277	1239
13277	1649
13277	1787
13277	1867
13277	1937
13277	2818
13284	1239
13284	1446
13284	1660
13284	1867
13284	1899
13284	1947
13284	2818
13297	1059
13297	1065
13297	1250
13297	1370
13297	1669
13297	1869
13297	2818
13322	1055
13322	1250
13322	1282
13322	1339
13322	1669
13322	1869
13322	1948
13322	2818
13324	1126
13324	1281
13324	1535
13324	1649
13324	1744
13324	1867
13324	2818
13347	1239
13347	1649
13347	1725
13347	1773
13347	1867
13347	2818
13360	1040
13360	1282
13360	1523
13360	1649
13360	1867
13360	2818
13361	1057
13361	1061
13361	1105
13361	1215
13361	1357
13361	1609
13361	1773
13361	1845
13361	1915
13371	1116
13371	1126
13371	1239
13371	1680
13371	1870
13371	1940
13371	1948
13371	1970
13371	2818
13372	1055
13372	1059
13372	1282
13372	1669
13372	1787
13372	1820
13372	1947
13372	2818
13419	1239
13419	1427
13419	1433
13419	1649
13419	1766
13419	1867
13419	2818
13476	1119
13476	1126
13476	1282
13476	1660
13476	1867
13476	1948
13476	2818
13485	1239
13485	1427
13485	1433
13485	1535
13485	1669
13485	1867
13485	1948
13485	2818
13494	1059
13494	1066
13494	1281
13494	1669
13494	1787
13494	1865
13494	1948
13494	2818
13494	2937
13496	1012
13496	1207
13496	1357
13496	1412
13496	1605
13496	1765
13496	1805
13496	1959
13496	2806
13499	1235
13499	1359
13499	1829
13499	1938
13499	2818
13533	1235
13533	1412
13533	1669
13533	1869
13533	1947
13533	2818
13533	3542
13593	2818
13764	1013
13764	1035
13764	1239
13764	1427
13764	1635
13764	1867
13764	1937
13764	2818
13786	1059
13786	1065
13786	1116
13786	1126
13786	1250
13786	1680
13786	1867
13786	1940
13786	2818
13970	1250
13970	1330
13970	1669
13970	1869
13970	1948
13970	2818
14026	1125
14026	1261
14026	1359
14026	1650
14026	1869
14026	1920
14026	1940
14026	2811
14038	1250
14038	1256
14038	1270
14038	1319
14038	1660
14038	1867
14038	1970
14038	2818
14038	4137
14040	1250
14040	1256
14040	1270
14040	1350
14040	1670
14040	1820
14040	1948
14040	2818
14042	1088
14042	1250
14042	1350
14042	1670
14042	1820
14042	1890
14042	1948
14042	2818
14057	1215
14057	1358
14057	1413
14057	1582
14057	1615
14057	1772
14057	1805
14057	1907
14500	1052
14500	1209
14500	1357
14500	1629
14500	1765
14500	1809
14500	1931
14500	1970
14500	2803
14504	1051
14504	1057
14504	1209
14504	1245
14504	1335
14504	1605
14504	1765
14504	1809
14504	1906
14504	2807
14505	1012
14505	1207
14505	1523
14505	1605
14505	1765
14505	1843
14505	1907
14505	2807
14505	2920
14506	1207
14506	1337
14506	1435
14506	1513
14506	1605
14506	1765
14506	1805
14506	1906
14506	2801
14507	1031
14507	1207
14507	1367
14507	1523
14507	1605
14507	1765
14507	1843
14507	1906
14507	2802
14507	2920
14508	1012
14508	1207
14508	1357
14508	1513
14508	1605
14508	1765
14508	1805
14508	1906
14508	2808
14509	1052
14509	1057
14509	1207
14509	1245
14509	1355
14509	1605
14509	1765
14509	1809
14509	1906
14509	2802
14510	1209
14510	1245
14510	1357
14510	1523
14510	1609
14510	1765
14510	1809
14510	1907
14510	2808
14513	1052
14513	1207
14513	1357
14513	1513
14513	1523
14513	1605
14513	1765
14513	1805
14513	1936
14513	2803
14514	1209
14514	1357
14514	1422
14514	1605
14514	1765
14514	1809
14514	1906
14514	1936
14514	2808
14516	1012
14516	1207
14516	1355
14516	1605
14516	1765
14516	1843
14516	1906
14516	2808
14516	2920
14517	1052
14517	1057
14517	1207
14517	1367
14517	1513
14517	1609
14517	1765
14517	1805
14517	1906
14517	2803
14518	1012
14518	1051
14518	1209
14518	1337
14518	1609
14518	1765
14518	1809
14518	1906
14518	2801
14519	1051
14519	1057
14519	1077
14519	1207
14519	1259
14519	1357
14519	1605
14519	1765
14519	1805
14519	2804
14519	4935
14522	1207
14522	1357
14522	1435
14522	1605
14522	1765
14522	1805
14522	1906
14522	2807
14524	1012
14524	1051
14524	1209
14524	1367
14524	1605
14524	1765
14524	1805
14524	1959
14524	2806
14525	1031
14525	1201
14525	1207
14525	1315
14525	1605
14525	1765
14525	1805
14525	1906
14525	2803
14526	1207
14526	1245
14526	1285
14526	1357
14526	1605
14526	1765
14526	1805
14526	1907
14526	1931
14526	2808
14528	1207
14528	1442
14528	1605
14528	1625
14528	1765
14528	1805
14528	1907
14528	1931
14528	2801
14528	2920
14530	1207
14530	1317
14530	1609
14530	1685
14530	1765
14530	1805
14530	1906
14530	1970
14530	2807
14533	1012
14533	1207
14533	1503
14533	1523
14533	1615
14533	1765
14533	1805
14533	1906
14533	2807
14534	1207
14534	1355
14534	1422
14534	1605
14534	1765
14534	1805
14534	1906
14534	1931
14534	2802
14536	1012
14536	1209
14536	1317
14536	1412
14536	1609
14536	1765
14536	1809
14536	1907
14536	2803
14538	2806
14542	1077
14542	1135
14542	1207
14542	1355
14542	1609
14542	1765
14542	1809
14542	1970
14542	2801
14544	1012
14544	1031
14544	1087
14544	1207
14544	1357
14544	1605
14544	1765
14544	1805
14544	1906
14544	2804
14545	1207
14545	1317
14545	1422
14545	1442
14545	1605
14545	1765
14545	1805
14545	1906
14545	2806
14549	1077
14549	1209
14549	1259
14549	1355
14549	1609
14549	1765
14549	1809
14549	1907
14549	2803
14550	1051
14550	1209
14550	1367
14550	1422
14550	1629
14550	1765
14550	1809
14550	1907
14550	2804
14552	1012
14552	1031
14552	1209
14552	1357
14552	1605
14552	1765
14552	1805
14552	1936
14552	2801
14555	1207
14555	1285
14555	1335
14555	1513
14555	1605
14555	1765
14555	1843
14555	1907
14555	2801
14557	1031
14557	1077
14557	1207
14557	1357
14557	1609
14557	1765
14557	1809
14557	1906
14557	2802
14558	1077
14558	1078
14558	1207
14558	1355
14558	1605
14558	1765
14558	1809
14558	1906
14558	2808
14559	1012
14559	1207
14559	1317
14559	1435
14559	1605
14559	1765
14559	1805
14559	1936
14559	2802
14561	1051
14561	1087
14561	1209
14561	1337
14561	1605
14561	1765
14561	1805
14561	1907
14561	2804
14564	1012
14564	1207
14564	1357
14564	1435
14564	1605
14564	1765
14564	1805
14564	1906
14564	2803
14565	1012
14565	1209
14565	1335
14565	1615
14565	1765
14565	1809
14565	1906
14565	1931
14565	2803
14566	1207
14566	1355
14566	1412
14566	1605
14566	1725
14566	1765
14566	1805
14566	1906
14566	2801
14569	1031
14569	1051
14569	1207
14569	1355
14569	1605
14569	1765
14569	1805
14569	1906
14569	2806
14570	1012
14570	1209
14570	1367
14570	1523
14570	1605
14570	1765
14570	1809
14570	1936
14570	2801
14571	1031
14571	1207
14571	1357
14571	1412
14571	1615
14571	1765
14571	1809
14571	1907
14571	2804
14574	1012
14574	1051
14574	1209
14574	1315
14574	1605
14574	1765
14574	1809
14574	1907
14574	2803
14575	1209
14575	1256
14575	1317
14575	1503
14575	1609
14575	1784
14575	1805
14575	1906
14575	2802
14576	1031
14576	1207
14576	1357
14576	1422
14576	1605
14576	1765
14576	1809
14576	1906
14576	2807
14580	1031
14580	1135
14580	1209
14580	1265
14580	1357
14580	1609
14580	1783
14580	1809
14580	2801
14581	1012
14581	1135
14581	1207
14581	1357
14581	1605
14581	1782
14581	1805
14581	1906
14581	2801
14582	1135
14582	1207
14582	1245
14582	1357
14582	1615
14582	1772
14582	1805
14582	1936
14582	2802
14583	1051
14583	1057
14583	1077
14583	1207
14583	1357
14583	1605
14583	1783
14583	1805
14583	2804
14583	4135
14584	1135
14584	1207
14584	1357
14584	1412
14584	1513
14584	1605
14584	1772
14584	1805
14584	2801
14586	1135
14586	1207
14586	1335
14586	1412
14586	1513
14586	1605
14586	1783
14586	1805
14586	2807
14589	1052
14589	1057
14589	1135
14589	1207
14589	1355
14589	1605
14589	1783
14589	1809
14589	2804
14590	1031
14590	1135
14590	1207
14590	1355
14590	1605
14590	1783
14590	1805
14590	1931
14590	2804
14592	1012
14592	1209
14592	1265
14592	1357
14592	1605
14592	1771
14592	1783
14592	1809
14592	1931
14592	2807
14593	1135
14593	1207
14593	1337
14593	1412
14593	1605
14593	1783
14593	1805
14593	1936
14593	2801
14594	1135
14594	1207
14594	1245
14594	1367
14594	1435
14594	1605
14594	1783
14594	1805
14594	2801
14595	1031
14595	1135
14595	1207
14595	1357
14595	1422
14595	1605
14595	1783
14595	1809
14595	2806
14597	1031
14597	1135
14597	1207
14597	1317
14597	1609
14597	1685
14597	1782
14597	1809
14597	2803
14598	1052
14598	1135
14598	1207
14598	1317
14598	1523
14598	1605
14598	1783
14598	1805
14598	2802
14599	1012
14599	1135
14599	1207
14599	1245
14599	1315
14599	1605
14599	1783
14599	1805
14599	2804
14600	1135
14600	1207
14600	1335
14600	1523
14600	1605
14600	1625
14600	1783
14600	1843
14600	2804
14601	1012
14601	1209
14601	1259
14601	1315
14601	1609
14601	1782
14601	1809
14601	1906
14601	2803
14603	1012
14603	1135
14603	1209
14603	1367
14603	1605
14603	1783
14603	1809
14603	1906
14603	2801
14605	1135
14605	1207
14605	1355
14605	1412
14605	1605
14605	1783
14605	1805
14605	1931
14605	2807
14607	1012
14607	1088
14607	1135
14607	1209
14607	1355
14607	1605
14607	1783
14607	1809
14607	2802
14607	4935
14609	1135
14609	1207
14609	1315
14609	1582
14609	1609
14609	1783
14609	1805
14609	1936
14609	2801
14610	1012
14610	1135
14610	1207
14610	1245
14610	1315
14610	1605
14610	1772
14610	1805
14610	2803
14612	1031
14612	1077
14612	1135
14612	1207
14612	1367
14612	1605
14612	1782
14612	1805
14612	2807
14613	1051
14613	1135
14613	1207
14613	1357
14613	1412
14613	1615
14613	1782
14613	1809
14613	2802
14615	1012
14615	1135
14615	1207
14615	1355
14615	1523
14615	1605
14615	1782
14615	1805
14615	2806
14616	1031
14616	1135
14616	1207
14616	1357
14616	1412
14616	1609
14616	1783
14616	1805
14616	2804
14617	1077
14617	1135
14617	1207
14617	1315
14617	1513
14617	1605
14617	1783
14617	1805
14617	2801
14618	1031
14618	1135
14618	1207
14618	1412
14618	1605
14618	1783
14618	1805
14618	2801
14618	2920
14619	1051
14619	1135
14619	1209
14619	1355
14619	1442
14619	1605
14619	1772
14619	1805
14619	2807
14620	1135
14620	1207
14620	1335
14620	1503
14620	1523
14620	1605
14620	1782
14620	1843
14620	2803
14621	1012
14621	1135
14621	1207
14621	1335
14621	1523
14621	1605
14621	1782
14621	1843
14621	2802
14623	1012
14623	1135
14623	1207
14623	1442
14623	1605
14623	1625
14623	1783
14623	1805
14623	2803
14623	2920
14623	2966
14624	1012
14624	1135
14624	1207
14624	1315
14624	1513
14624	1605
14624	1782
14624	1805
14624	2802
14626	1012
14626	1087
14626	1089
14626	1135
14626	1207
14626	1367
14626	1605
14626	1783
14626	1805
14626	2802
14627	1012
14627	1135
14627	1207
14627	1355
14627	1605
14627	1783
14627	1843
14627	2808
14627	2920
14629	1012
14629	1135
14629	1209
14629	1367
14629	1609
14629	1685
14629	1783
14629	1809
14629	2806
14631	1077
14631	1135
14631	1207
14631	1367
14631	1412
14631	1605
14631	1782
14631	1809
14631	2803
14633	1012
14633	1135
14633	1207
14633	1357
14633	1435
14633	1605
14633	1783
14633	1809
14633	2808
14636	1052
14636	1057
14636	1135
14636	1207
14636	1245
14636	1355
14636	1605
14636	1782
14636	1805
14636	2801
14638	1012
14638	1031
14638	1135
14638	1207
14638	1355
14638	1605
14638	1783
14638	1805
14638	2807
14639	1201
14639	1207
14639	1422
14639	1435
14639	1605
14639	1625
14639	1783
14639	1843
14639	1931
14639	2802
14641	1135
14641	1207
14641	1355
14641	1523
14641	1605
14641	1782
14641	1805
14641	2801
14643	1013
14643	1031
14643	1136
14643	1211
14643	1215
14643	1615
14643	1626
14643	1772
14643	1805
14643	2920
14643	2966
14644	1105
14644	1136
14644	1215
14644	1358
14644	1413
14644	1629
14644	1860
14644	1915
14650	1105
14650	1215
14650	1357
14650	1605
14650	1615
14650	1784
14650	1834
14650	1915
14651	1057
14651	1061
14651	1105
14651	1215
14651	1338
14651	1609
14651	1782
14651	1845
14651	1907
14651	1919
14652	1215
14652	1357
14652	1442
14652	1615
14652	1785
14652	1834
14652	1915
14656	1031
14656	1105
14656	1225
14656	1339
14656	1637
14656	1849
14656	1926
14656	2811
14659	1834
14659	1926
14659	2811
14659	2937
14659	2946
14659	2947
14659	2948
14659	2950
35021	1077
35021	1281
35021	1660
35021	1784
35021	1867
35021	1947
35021	2818
35194	1125
35194	1225
35194	1359
35194	1650
35194	1744
35194	1869
35194	1920
35194	2811
35299	1077
35299	1261
35299	1359
35299	1650
35299	1869
35299	1920
35299	2811
35318	1017
35318	1088
35318	1105
35318	1261
35318	1339
35318	1650
35318	1869
35318	1925
35318	2811
35553	1056
35553	1061
35553	1219
35553	1357
35553	1637
35553	1785
35553	1835
35553	1919
36058	1057
36058	1061
36058	1105
36058	1215
36058	1285
36058	1357
36058	1615
36058	1845
36058	1915
36286	1031
36286	1207
36286	1337
36286	1503
36286	1609
36286	1765
36286	1809
36286	1907
36286	2806
36419	1225
36419	1584
36419	1670
36419	1685
36419	1745
36419	1869
36419	1926
36419	2811
