Student_Number	CourseNumber
10392	1105
10392	1215
10392	1357
10392	1629
10392	1782
10392	1860
10392	1919
10405	1239
10405	1359
10405	1414
10405	1649
10405	1867
10405	1947
10412	1059
10412	1065
10412	1125
10412	1220
10412	1339
10412	1669
10412	1860
10412	1920
10419	1125
10419	1225
10419	1359
10419	1515
10419	1637
10419	1849
10419	1920
10430	1031
10430	1782
10430	1845
10430	2906
10430	2920
10430	2945
10430	2946
10430	2947
10430	2948
10430	2950
10431	1077
10431	1225
10431	1535
10431	1649
10431	1689
10431	1784
10431	1849
10431	1925
10432	1249
10432	1508
10432	1649
10432	1835
10432	1947
10432	5512
10433	1077
10433	1220
10433	1339
10433	1650
10433	1784
10433	1860
10433	1920
10433	1940
10451	1235
10451	1357
10451	1782
10451	1849
10451	1947
10451	2906
10451	2920
10453	1025
10453	1215
10453	1357
10453	1606
10453	1613
10453	1845
10453	1915
10589	1051
10589	1057
10589	1209
10589	1357
10589	1609
10589	1765
10589	1809
10589	1936
10589	2807
10597	1225
10597	1524
10597	1635
10597	1835
10597	1925
10597	1938
10597	2914
10597	2920
10597	2953
10599	1125
10599	1225
10599	1359
10599	1669
10599	1766
10599	1869
10599	1925
10599	1940
10601	1055
10601	1239
10601	1359
10601	1648
10601	1867
10601	1947
10605	1225
10605	1235
10605	1245
10605	1293
10605	1433
10605	1784
10605	1835
10605	1925
10606	1077
10606	1239
10606	1319
10606	1357
10606	1637
10606	1785
10606	1947
10607	1055
10607	1220
10607	1359
10607	1670
10607	1787
10607	1869
10607	1920
10607	1940
10610	1031
10610	1239
10610	1357
10610	1648
10610	1867
10610	1925
10635	1025
10635	1249
10635	1433
10635	1867
10635	1947
10635	2904
10635	2920
10651	1088
10651	1105
10651	1215
10651	1368
10651	1613
10651	1783
10651	1834
10651	1915
11254	1165
11254	1215
11254	1315
11254	1515
11254	1637
11254	1766
11254	1834
11254	1915
11254	2906
11255	1105
11255	1215
11255	1513
11255	1637
11255	1676
11255	1784
11255	1834
11255	1915
11273	1125
11273	1220
11273	1293
11273	1319
11273	1650
11273	1792
11273	1849
11273	1920
11274	1031
11274	1209
11274	1265
11274	1357
11274	1609
11274	1765
11274	1809
11274	1906
11274	2804
11278	1235
11278	1247
11278	1648
11278	1938
11278	1947
11278	2920
11279	1225
11279	1412
11279	1535
11279	1637
11279	1782
11279	1849
11279	1925
11280	1225
11280	1524
11280	1535
11280	1582
11280	1635
11280	1834
11280	1925
11281	1035
11281	1105
11281	1215
11281	1357
11281	1615
11281	1785
11281	1834
11281	1915
11374	1125
11374	1225
11374	1358
11374	1508
11374	1535
11374	1649
11374	1849
11374	1925
11386	1209
11386	1357
11386	1503
11386	1523
11386	1609
11386	1765
11386	1809
11386	1959
11386	2803
11392	1135
11392	1209
11392	1265
11392	1357
11392	1609
11392	1783
11392	1805
11392	1907
11392	2807
11396	1220
11396	1222
11396	1319
11396	1523
11396	1637
11396	1792
11396	1849
11396	1920
11406	1220
11406	1318
11406	1508
11406	1524
11406	1649
11406	1860
11406	1920
11485	1012
11485	1209
11485	1245
11485	1265
11485	1357
11485	1615
11485	1765
11485	1809
11485	1906
11485	2802
11487	1013
11487	1219
11487	1358
11487	1650
11487	1766
11487	1845
11487	1860
11487	1959
11489	1013
11489	1061
11489	1105
11489	1219
11489	1358
11489	1629
11489	1783
11489	1834
11489	1919
11525	1414
11525	1433
11525	1442
11525	1524
11525	2920
11525	2946
11525	2948
11525	2950
11526	1215
11526	1357
11526	1412
11526	1444
11526	1615
11526	1785
11526	1834
11526	1915
11547	1031
11547	1215
11547	1358
11547	1524
11547	1629
11547	1782
11547	1829
11547	1915
11565	1061
11565	1077
11565	1105
11565	1219
11565	1338
11565	1629
11565	1784
11565	1845
11565	1919
11575	1207
11575	1337
11575	1412
11575	1513
11575	1605
11575	1783
11575	1809
11575	1936
11575	2806
11575	4135
11579	1025
11579	1249
11579	1648
11579	1867
11579	1937
11583	1105
11583	1215
11583	1368
11583	1615
11583	1783
11583	1845
11583	1915
11589	1125
11589	1220
11589	1359
11589	1669
11589	1792
11589	1869
11589	1920
11589	1940
11590	1012
11590	1211
11590	1213
11590	1444
11590	1615
11590	1843
11590	1915
11598	1215
11598	1358
11598	1413
11598	1422
11598	1615
11598	1785
11598	1834
11598	1915
11601	1056
11601	1061
11601	1215
11601	1357
11601	1613
11601	1785
11601	1834
11601	1915
11604	1032
11604	1105
11604	1219
11604	1358
11604	1609
11604	1783
11604	1845
11604	1919
11608	1013
11608	1105
11608	1219
11608	1358
11608	1629
11608	1783
11608	1845
11608	1919
11611	1055
11611	1059
11611	1125
11611	1220
11611	1358
11611	1649
11611	1849
11611	1920
11611	1940
11612	1261
11612	1669
11612	1820
11612	1865
11612	1948
11612	2871
11613	1055
11613	1059
11613	1125
11613	1220
11613	1358
11613	1669
11613	1869
11613	1920
11614	1051
11614	1207
11614	1355
11614	1523
11614	1605
11614	1765
11614	1809
11614	1907
11614	2808
11616	1075
11616	1135
11616	1207
11616	1285
11616	1367
11616	1605
11616	1783
11616	1805
11616	2803
11618	1077
11618	1219
11618	1338
11618	1650
11618	1783
11618	1860
11618	1919
11618	4845
11621	1126
11621	1261
11621	1269
11621	1270
11621	1680
11621	1792
11621	1820
11621	1948
11622	1215
11622	1524
11622	1549
11622	1629
11622	1782
11622	1860
11622	1919
11624	1209
11624	1265
11624	1357
11624	1523
11624	1609
11624	1765
11624	1809
11624	1907
11624	2801
11627	1051
11627	1057
11627	1135
11627	1209
11627	1317
11627	1367
11627	1609
11627	1782
11627	1809
11627	2803
11628	1077
11628	1225
11628	1339
11628	1535
11628	1582
11628	1635
11628	1849
11628	1925
11633	1088
11633	1219
11633	1358
11633	1504
11633	1650
11633	1785
11633	1860
11633	1919
11633	4845
11634	1126
11634	1249
11634	1369
11634	1649
11634	1869
11635	1126
11635	1249
11635	1368
11635	1649
11635	1867
11635	1939
11635	1947
11636	1031
11636	1215
11636	1355
11636	1613
11636	1785
11636	1805
11636	1915
11636	2906
11641	1075
11641	1135
11641	1209
11641	1357
11641	1412
11641	1609
11641	1783
11641	1809
11641	2803
11643	1135
11643	1207
11643	1337
11643	1412
11643	1609
11643	1783
11643	1805
11643	1906
11643	2806
11644	1135
