Student_Number	CourseNumber
10392	1216
10392	1265
10392	1285
10392	1357
10392	1639
10392	1845
10392	1860
10392	1929
10405	1238
10405	1249
10405	1416
10405	1649
10405	1868
10412	1059
10412	1065
10412	1125
10412	1230
10412	1339
10412	1839
10412	1860
10412	1930
10412	2811
10419	1125
10419	1226
10419	1638
10419	1792
10419	1859
10419	1926
10419	2811
10430	1025
10430	1783
10430	1834
10430	2811
10430	2906
10430	2920
10430	2945
10430	2946
10430	2947
10430	2948
10430	2950
10431	1077
10431	1226
10431	1505
10431	1649
10431	1689
10431	1859
10431	1926
10431	2811
10432	1239
10432	1413
10432	1508
10432	1649
10432	1784
10432	5512
10433	1077
10433	1230
10433	1339
10433	1650
10433	1784
10433	1860
10433	1930
10433	1940
10433	2811
10451	1236
10451	1357
10451	1412
10451	1624
10451	1638
10451	1792
10451	2920
10453	1012
10453	1135
10453	1208
10453	1216
10453	1442
10453	1614
10453	1782
10453	1834
10453	1916
10453	2820
10589	1051
10589	1057
10589	1095
10589	1135
10589	1210
10589	1357
10589	1619
10589	1783
10589	1819
10597	1226
10597	1516
10597	1636
10597	1834
10597	1926
10597	2811
10597	2914
10597	2920
10597	4935
10599	1125
10599	1230
10599	1669
10599	1720
10599	1879
10599	1926
10599	1940
10599	2811
10601	1055
10601	1249
10601	1648
10601	1868
10601	1938
10606	1077
10606	1238
10606	1249
10606	1357
10606	1792
10607	1055
10607	1230
10607	1359
10607	1670
10607	1792
10607	1879
10607	1930
10607	1940
10607	2811
10610	1032
10610	1226
10610	1236
10610	1357
10610	1416
10610	1648
10610	1868
10635	1019
10635	1239
10635	1436
10635	1868
10635	1931
10635	2904
10635	2920
10651	1088
10651	1105
10651	1216
10651	1355
10651	1614
10651	1784
10651	1845
10651	1916
10651	1931
11254	1105
11254	1216
11254	1315
11254	1638
11254	1784
11254	1845
11254	1916
11255	1165
11255	1216
11255	1523
11255	1638
11255	1676
11255	1782
11255	1845
11255	1916
11273	1125
11273	1230
11273	1293
11273	1319
11273	1650
11273	1859
11273	1930
11273	2811
11274	1032
11274	1135
11274	1210
11274	1357
11274	1442
11274	1619
11274	1772
11274	1819
11278	1031
11278	1095
11278	1236
11278	1248
11278	1648
11278	1931
11278	2920
11279	1226
11279	1248
11279	1413
11279	1638
11279	1859
11279	1926
11279	2811
11280	1226
11280	1446
11280	1513
11280	1583
11280	1636
11280	1835
11280	1926
11280	2811
11281	1035
11281	1216
11281	1357
11281	1444
11281	1616
11281	1782
11281	1845
11281	1916
11374	1125
11374	1226
11374	1358
11374	1508
11374	1555
11374	1649
11374	1859
11374	1926
11374	2811
11386	1135
11386	1210
11386	1265
11386	1357
11386	1619
11386	1782
11386	1819
11386	1907
11386	1959
11392	1136
11392	1210
11392	1293
11392	1357
11392	1616
11392	1765
11392	1806
11392	1906
11396	1105
11396	1230
11396	1319
11396	1638
11396	1859
11396	1930
11396	1938
11396	2811
11406	1230
11406	1238
11406	1318
11406	1504
11406	1508
11406	1649
11406	1860
11406	1930
11406	2811
11485	1012
11485	1135
11485	1210
11485	1246
11485	1357
11485	1616
11485	1773
11485	1819
11485	1907
11487	1013
11487	1105
11487	1229
11487	1358
11487	1650
11487	1784
11487	1839
11487	1860
11487	1929
