StudentID	Student_Number	CourseNumber	YearID
67810	51947	2912W	3500
67810	51947	2912Tu	3500
54631	46990	2912F	3500
60906	49677	1782A	3500
69776	52445	2912Tu	3500
97173	58628	1523A	3500
97173	58628	2912W	3500
97173	58628	2912	3500
129733	64061	1318A	3500
73802	55374	1783A	3500
75624	56690	2912F	3500
75624	56690	2912W	3500
54327	46867	2818C	3500
54327	46867	2912W	3500
70549	53370	2912Th	3500
70549	53370	2912	3500
85074	57215	4137A	3500
84883	57164	2912W	3500
84706	57121	1765A	3500
84706	57121	1245	3500
84706	57121	2912F	3500
122079	52260	2912Tu	3500
122079	52260	2912	3500
70547	53368	2912Tu	3500
70547	53368	2912W	3500
135288	64946	2912F	3500
104786	59560	2912F	3500
67575	51755	2912Th	3500
67575	51755	2912	3500
67575	51755	2912Tu	3500
71823	54373	2811M	3500
71823	54373	2912Th	3500
71823	54373	2912F	3500
85730	57410	2912W	3500
85730	57410	2912Th	3500
73081	54633	2912F	3500
85277	57322	1125A	3500
73328	55053	2912Th	3500
73328	55053	2912	3500
73328	55053	1787A	3500
69162	52217	1135A	3500
67591	51771	1959A	3500
112040	61443	1238A	3500
112040	61443	2808	3500
112040	61443	2912Tu	3500
70335	53158	2912F	3500
70335	53158	2912Th	3500
111738	61158	2912	3500
58594	48634	2912	3500
129761	64091	1031A	3500
122778	63312	2912Tu	3500
122778	63312	2912	3500
74452	55734	1765A	3500
74452	55734	1135A	3500
74452	55734	2912F	3500
136807	65429	1503A	3500
136807	65429	2912Th	3500
70390	53213	1116A	3500
70390	53213	2912Tu	3500
70349	53172	2912W	3500
74138	55562	1523A	3500
74138	55562	2912W	3500
74147	55571	1766	3500
84703	57118	1765A	3500
129746	64076	1031A	3500
85528	57365	1525A	3500
135638	64986	1412A	3500
135638	64986	2912W	3500
135638	64986	2912Tu	3500
108241	60661	2912W	3500
108241	60661	2912	3500
74586	55803	1783A	3500
74586	55803	2912W	3500
74586	55803	2912Th	3500
74586	55803	2912Tu	3500
122723	63292	1159A	3500
122723	63292	2912F	3500
122723	63292	2912W	3500
73075	54627	2811S	3500
73075	54627	2912F	3500
102579	59027	2811M	3500
102579	59027	2912F	3500
96427	58429	1105A	3500
96427	58429	2912F	3500
75004	56216	2912Tu	3500
74966	56178	2912Tu	3500
59160	49025	2912F	3500
59160	49025	2912Th	3500
59160	49025	2912Tu	3500
71984	54418	2912F	3500
71984	54418	2912	3500
71984	54418	1125A	3500
71984	54418	2912W	3500
128827	63887	2912Tu	3500
64097	50851	2912Th	3500
62189	50449	2912F	3500
