TermID	Course_Number	Teacher	Expression	Course Section	Section_Number	Section ID	Room	GradebookType	MaxEnrollment	Tied	Phase	Teacher Tied	Attendance_Type_Code	Att_Mode_Code	GradeScaleID	Exclude_State_Rpt_YN	ExcludeFromClassRank	ExcludeFromGPA	ExcludeFromHonorRoll	ExcludeFromStoredGrades	External_Expression	MaxEnrollment	Section ID
3501	1016	2686	"4(B) 5(B,E) 6(D) 8(C)"	1016.1	1	316366	350S	2	22	1	1	1	2	ATT_ModeMeeting	0	0	0	0	0	0	"4(T) 5(T,F) 6(R) 8(W)"	22	316366
3501	1023	25489	"7(A,E) 10(B-D)"	1023.1	1	316370	340	2	15	1	1	1	2	ATT_ModeMeeting	0	0	0	0	0	0	"7(M,F) 10(T-R)"	15	316370
3501	1077	18292	1(A-E)	1077.1	1	316514	AUD	2	200	1	1	1	2	ATT_ModeMeeting	0	0	0	0	0	0	1(M-F)	200	316514
3501	1207	24138	12(B)	1207.1	1	316848	NA	2	200	0	1	1	2	ATT_ModeMeeting	0	0	0	0	0	0	ACT(T)	200	316848
3501	1207	22938	12(B)	1207.2	2	316849	NA	2	200	0	1	1	2	ATT_ModeMeeting	0	0	0	0	0	0	ACT(T)	200	316849
3501	1207	22938	10(E)	1207.3	3	316850	135	0	22	0	6	1	2	ATT_ModeMeeting	715	0	1	1	1	1	10(F)	22	316850
3501	1207	19522	7(E)	1207.4	4	316851	135	0	22	0	6	1	2	ATT_ModeMeeting	715	0	1	1	1	1	7(F)	22	316851
3501	1207	24138	5(E)	1207.5	5	316852	115	0	22	0	6	1	2	ATT_ModeMeeting	715	0	1	1	1	1	5(F)	22	316852
3501	1207	22938	2(E)	1207.7	7	316853	135	0	22	0	6	1	2	ATT_ModeMeeting	715	0	1	1	1	1	2(F)	22	316853
3501	1207	19522	4(E)	1207.8	8	316854	135	0	22	0	6	1	2	ATT_ModeMeeting	715	0	1	1	1	1	4(F)	22	316854
3501	1207	1399	4(E)	1207.9	9	316855	138	0	22	0	6	1	2	ATT_ModeMeeting	715	0	1	1	1	1	4(F)	22	316855
3501	1207	1713	7(E)	1207.1	10	316848	132	0	22	0	6	1	2	ATT_ModeMeeting	715	0	1	1	1	1	7(F)	22	316848
3501	1207	24138	6(E)	1207.11	11	316857	115	0	22	0	6	1	2	ATT_ModeMeeting	715	0	1	1	1	1	6(F)	22	316857
3501	1207	24138	7(E)	1207.13	13	316858	115	0	22	0	6	1	2	ATT_ModeMeeting	715	0	1	1	1	1	7(F)	22	316858
3501	1207	22938	1(E)	1207.14	14	316859	135	0	22	0	6	1	2	ATT_ModeMeeting	715	0	1	1	1	1	1(F)	22	316859
3501	1207	1713	2(E)	1207.15	15	316860	132	0	22	0	6	1	2	ATT_ModeMeeting	715	0	1	1	1	1	2(F)	22	316860
3501	1207	1399	3(E)	1207.16	16	316861	138	0	22	0	6	1	2	ATT_ModeMeeting	715	0	1	1	1	1	3(F)	22	316861
3501	1207	19522	12(B)	1207.17	17	316862	NA	2	200	0	1	1	2	ATT_ModeMeeting	0	0	0	0	0	0	ACT(T)	200	316862
3501	1207	1399	12(B)	1207.18	18	316863	NA	2	200	0	1	1	2	ATT_ModeMeeting	0	0	0	0	0	0	ACT(T)	200	316863
3501	1207	1713	12(B)	1207.19	19	316864	NA	2	200	0	1	1	2	ATT_ModeMeeting	0	0	0	0	0	0	ACT(T)	200	316864
3501	1207	24138	8(A)	1207.2	20	316849	115	0	22	0	2	1	2	ATT_ModeMeeting	715	0	1	1	1	1	8(M)	22	316849
3501	1207	22938	1(A)	1207.21	21	316866	135	0	22	0	2	1	2	ATT_ModeMeeting	715	0	1	1	1	1	1(M)	22	316866
3501	1207	1399	9(A)	1207.22	22	316867	138	0	22	0	2	1	2	ATT_ModeMeeting	715	0	1	1	1	1	9(M)	22	316867
3501	1207	1713	10(C)	1207.24	24	316868	132	0	22	0	4	1	2	ATT_ModeMeeting	715	0	1	1	1	1	10(W)	22	316868
3501	1207	22938	9(A)	1207.25	25	316869	135	0	22	0	2	1	2	ATT_ModeMeeting	715	0	1	1	1	1	9(M)	22	316869
3501	1207	1399	2(A)	1207.26	26	316870	138	0	22	0	2	1	2	ATT_ModeMeeting	715	0	1	1	1	1	2(M)	22	316870
3501	1207	22938	10(A)	1207.28	28	316871	135	0	22	0	2	1	2	ATT_ModeMeeting	715	0	1	1	1	1	10(M)	22	316871
3501	1207	1713	8(A)	1207.29	29	316872	132	0	22	0	2	1	2	ATT_ModeMeeting	715	0	1	1	1	1	8(M)	22	316872
3501	1207	19522	2(A)	1207.3	30	316850	135	0	22	0	2	1	2	ATT_ModeMeeting	715	0	1	1	1	1	2(M)	22	316850
3501	1207	24138	9(A)	1207.31	31	316874	115	0	22	0	2	1	2	ATT_ModeMeeting	715	0	1	1	1	1	9(M)	22	316874
3501	1207	1713	9(A)	1207.32	32	316875	132	0	22	0	2	1	2	ATT_ModeMeeting	715	0	1	1	1	1	9(M)	22	316875
3501	1207	19522	7(A)	1207.33	33	316876	135	0	22	0	2	1	2	ATT_ModeMeeting	715	0	1	1	1	1	7(M)	22	316876
3501	1207	19522	9(D)	1207.35	35	316877	135	0	22	0	5	1	2	ATT_ModeMeeting	715	0	1	1	1	1	9(R)	22	316877
3501	1207	1399	9(D)	1207.36	36	316878	138	0	22	0	5	1	2	ATT_ModeMeeting	715	0	1	1	1	1	9(R)	22	316878
3501	1207	1713	3(D)	1207.37	37	316879	132	0	22	0	5	1	2	ATT_ModeMeeting	715	0	1	1	1	1	3(R)	22	316879
3501	1207	19522	5(D)	1207.39	39	316880	135	0	22	0	5	1	2	ATT_ModeMeeting	715	0	1	1	1	1	5(R)	22	316880
3501	1207	1399	3(D)	1207.4	40	316851	138	0	22	0	5	1	2	ATT_ModeMeeting	715	0	1	1	1	1	3(R)	22	316851
3501	1207	24138	1(D)	1207.41	41	316882	115	0	22	0	5	1	2	ATT_ModeMeeting	715	0	1	1	1	1	1(R)	22	316882
3501	1207	22938	7(D)	1207.42	42	316883	135	0	22	0	5	1	2	ATT_ModeMeeting	715	0	1	1	1	1	7(R)	22	316883
3501	1207	24138	7(D)	1207.43	43	316884	115	0	22	0	5	1	2	ATT_ModeMeeting	715	0	1	1	1	1	7(R)	22	316884
3501	1207	22938	3(D)	1207.44	44	316885	135	0	22	0	5	1	2	ATT_ModeMeeting	715	0	1	1	1	1	3(R)	22	316885
3501	1207	24138	8(D)	1207.45	45	316886	115	0	22	0	5	1	2	ATT_ModeMeeting	715	0	1	1	1	1	8(R)	22	316886
3501	1207	22938	1(D)	1207.46	46	316887	135	0	22	0	5	1	2	ATT_ModeMeeting	715	0	1	1	1	1	1(R)	22	316887
3501	1207	1713	9(D)	1207.47	47	316888	132	0	22	0	5	1	2	ATT_ModeMeeting	715	0	1	1	1	1	9(R)	22	316888
3501	1207	24138	1(B)	1207.48	48	316889	115	0	22	0	3	1	2	ATT_ModeMeeting	715	0	1	1	1	1	1(T)	22	316889
3501	1207	1713	4(B)	1207.49	49	316890	132	0	22	0	3	1	2	ATT_ModeMeeting	715	0	1	1	1	1	4(T)	22	316890
