TermID	Course_Number	Teacher	Expression	Section_Number	Room	GradebookType	MaxEnrollment	Tied	Phase	Teacher Tied	Attendance_Type_Code	Att_Mode_Code	GradeScaleID	Exclude_State_Rpt_YN	ExcludeFromClassRank	ExcludeFromGPA	ExcludeFromHonorRoll	ExcludeFromStoredGrades	External_Expression	MaxEnrollment
3500	2000	15682	"11(A-B,D-E)"	2	321	2	22	1	1	1	2	ATT_ModeMeeting	465	0	0	0	0	0	"HR(M-T,R-F)"	22
3500	2000	17716	"11(A-B,D-E)"	3	271	2	22	1	1	1	2	ATT_ModeMeeting	465	0	0	0	0	0	"HR(M-T,R-F)"	22
3500	2000	22793	"11(A-B,D-E)"	4	220	2	22	1	1	1	2	ATT_ModeMeeting	465	0	0	0	0	0	"HR(M-T,R-F)"	22
3500	2000	22789	"11(A-B,D-E)"	5	131	2	22	1	1	1	2	ATT_ModeMeeting	465	0	0	0	0	0	"HR(M-T,R-F)"	22
3500	2000	948	"11(A-B,D-E)"	6	242	2	22	1	1	1	2	ATT_ModeMeeting	465	0	0	0	0	0	"HR(M-T,R-F)"	22
3500	2000	1370	"11(A-B,D-E)"	7	305	2	22	1	1	1	2	ATT_ModeMeeting	465	0	0	0	0	0	"HR(M-T,R-F)"	22
3500	2000	8928	"11(A-B,D-E)"	8	181	2	22	1	1	1	2	ATT_ModeMeeting	465	0	0	0	0	0	"HR(M-T,R-F)"	22
3500	2000	24134	"11(A-B,D-E)"	9	223	2	22	1	1	1	2	ATT_ModeMeeting	465	0	0	0	0	0	"HR(M-T,R-F)"	22
3500	2000	1371	"11(A-B,D-E)"	10	103	2	22	1	1	1	2	ATT_ModeMeeting	465	0	0	0	0	0	"HR(M-T,R-F)"	22
3500	2000	6129	"11(A-B,D-E)"	11	321	2	22	1	1	1	2	ATT_ModeMeeting	0	0	0	0	0	0	"HR(M-T,R-F)"	22
3500	2000	22790	"11(A-B,D-E)"	12	LC 125	2	22	1	1	1	2	ATT_ModeMeeting	465	0	0	0	0	0	"HR(M-T,R-F)"	22
